name,ingredients,method
Spiced honey drizzle cake,"[{""""ing_group"""":""100g salted butter , plus extra for the tin""},{""""ing_group"""":""100g light brown soft sugar""},{""""ing_group"""":""100g runny honey""},{""""ing_group"""":""1 large egg""},{""""ing_group"""":""100ml milk""},{""""ing_group"""":""1 tsp mixed spice""},{""""ing_group"""":""½ tsp ground  ginger""},{""""ing_group"""":""150g self-raising flour""},{""""ing_group"""":""25g salted butter""},{""""ing_group"""":""25g runny honey""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat oven to 180C/160C fan/gas 4. Butter and line a 900g loaf tin with baking parchment. Beat the butter and sugar with an electric whisk until creamy. Whisk in the honey, egg, milk, spices and a pinch of salt (don’t worry if it curdles slightly, it will become a loose batter), then fold in the flour.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Tip into the prepared loaf tin and bake for 45 mins until a skewer inserted in the middle comes out clean. Leave the cake to cool for 10 mins, then transfer to a wire rack to cool completely.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""For the glaze, melt the butter and honey in a small pan until smooth. Leave to cool until thickened, then drizzle over the top of the cooled cake. Leave to set before serving.""}]"
Almond & raspberry cruffins,"[{""""ing_group"""":""1 tsp fast-action dried yeast""},{""""ing_group"""":""1 tsp lemon juice""},{""""ing_group"""":""225g strong white flour , sifted, plus extra for shaping""},{""""ing_group"""":""25g golden caster sugar""},{""""ing_group"""":""140g cold unsalted butter , chopped into sugar-cube-sized pieces""},{""""ing_group"""":""50g unsalted butter""},{""""ing_group"""":""50g golden caster sugar""},{""""ing_group"""":""50g ground almonds""},{""""ing_group"""":""1 tsp plain flour""},{""""ing_group"""":""a few drops almond extract""},{""""ing_group"""":""1 egg yolk""},{""""ing_group"""":""a few tbsp seedless raspberry jam""},{""""ing_group"""":""icing sugar , to dust""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""For the pastry, measure 75ml just-warm water, add the yeast and stir it to dissolve. Measure another 75ml ice-cold water and add the lemon juice to it. Mix the flour and sugar with 1/2 tsp fine salt in a large bowl, then toss in the cubes of butter until coated in the flour. Splash the yeast water and lemon water over the contents of the bowl. Using a round-bladed knife, work quickly to bring the mix to a rough dough with lumps of butter held inside it.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Turn onto a floured work surface, shape into a squat rectangle without kneading it too much, then wrap in cling film and chill for 15 mins in the freezer.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Dust the work surface and pastry with flour. Roll the pastry in one direction until it’s 3 times long as it is wide, or about 45 x 15cm. Try to keep the sides straight as you roll, and the top and bottom edges as square as possible.""},{""""meth_group"""":""STEP 4""},{""""meth_group"""":""Fold the pastry over itself. Fold the bottom third up, then the top third down, to make a neat block. Turn the block so that its open edge is facing to the right, like a book. Press the edges together gently with the rolling pin. Roll out and fold the pastry like this 3 more times to make a smooth dough, with the odd streak of butter here and there. If it feels greasy at any point, or becomes springy, cover and chill for 10 mins before continuing. Wrap the finished dough and chill for at least 1 hr.""},{""""meth_group"""":""STEP 5""},{""""meth_group"""":""To make the filling, beat together all the ingredients and season with a pinch of salt. Set aside until needed.""},{""""meth_group"""":""STEP 6""},{""""meth_group"""":""To shape, put the dough on a floured work surface. Cut it in half across the middle and return one half to the fridge. Roll the other to a 30 x 20cm rectangle, then cut this into 3 strips, each 10cm wide. To create even more layers, fold each piece in half lengthways. Put a generous teaspoon of the almond mix at one end of the pastry, then roll the pastry around it in a spiral. Place, cut-edge up, into a non-stick muffin tin. Repeat to make 6 cruffins. Loosely cover with cling film. Can be chilled overnight. (You may have some filling left over, which can be frozen.)""},{""""meth_group"""":""STEP 7""},{""""meth_group"""":""Prove the dough at a cool room temperature for 2 hrs or until the pastry has filled the wells of the tin. Heat oven to 190C/170C fan/gas 5. Bake the cruffins for 20-25 mins until risen and deep golden brown. Remove and cool a little on a rack. To fill with jam, spoon the jam into a piping bag fitted with a 5mm nozzle, or use a chef’s squeezy bottle. Push the nozzle into the middle of the cruffin and squeeze. Dust the cruffins with icing sugar and eat cool or warm on the day of baking.""}]"
Banbury cakes,"[{""""ing_group"""":""50g unsalted butter , softened""},{""""ing_group"""":""1 tbsp English honey""},{""""ing_group"""":""½ tsp freshly grated nutmeg""},{""""ing_group"""":""½ tsp ground cinnamon""},{""""ing_group"""":""100g currants""},{""""ing_group"""":""50g candied orange peel""},{""""ing_group"""":""plain flour , for dusting""},{""""ing_group"""":""500g pack all-butter puff pastry""},{""""ing_group"""":""1 egg white , beaten""},{""""ing_group"""":""1-2 tbsp nibbed sugar or crushed rough-edged sugar cubes""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Cream the butter and honey together with the spices. Add the currants and the candied peel and mix well. On a lightly floured surface roll out the pastry to the thickness of a £1 coin and cut out 10 x 10cm circles, re-rolling any trimmings. Divide the filling between the circles.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Bring up the edges of the pastry to enclose the filling and crimp the edges of the pastry together to look like little purses. Turn the parcels over, with the folds underneath. Roll each parcel out gently to an oval shape, taking care not to expose the filling.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Heat the oven to 180C/160C fan/gas 4. Place the cakes on a baking sheet lined with non-stick paper. Brush with the egg white and sprinkle with sugar. Cook for 25-30 mins until cooked and crispy. Turn the oven down if the tops brown too quickly.""},{""""meth_group"""":""STEP 4""},{""""meth_group"""":""When cooked, transfer to a wire rack and allow to cool a little before eating. When cold, they’re excellent spread with a little salted butter.""}]"
Baked mincemeat doughnuts,"[{""""ing_group"""":""200g strong white bread flour""},{""""ing_group"""":""1 rounded tbsp caster sugar""},{""""ing_group"""":""25g butter , cut into small pieces""},{""""ing_group"""":""1 x 7g sachet easy-blend dried yeast""},{""""ing_group"""":""5 tbsp milk""},{""""ing_group"""":""1 egg , beaten""},{""""ing_group"""":""4 tbsp mincemeat""},{""""ing_group"""":""3 tbsp icing sugar""},{""""ing_group"""":""85g caster sugar""},{""""ing_group"""":""1 tsp cinnamon""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Tip the flour, sugar and a good pinch of salt into a large bowl. Add the butter and rub into the flour with your fingertips. Stir in the yeast.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Warm the milk to hand hot. Make a well in the centre of the flour and add the milk and egg. Mix everything together to make a soft dough. Tip onto a lightly floured surface and knead for 5 mins until the dough is smooth, elastic and no longer sticky. Put the dough back in the bowl, cover with a tea towel and leave to rise for about 1 hr or until doubled in size.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Knead the dough again briefly, then divide into 12 equal pieces. Roll out each piece to a 9cm round and put 1 tsp mincemeat in the centre. Gather up the edges of the dough to enclose the filling, pinching it well to seal. Shape into a ball between your hands and put on a baking sheet lined with baking paper, sealed side down, allowing space for the dough to rise. Cover with a tea towel and leave for about 30 mins. Heat the oven to 190C/170C fan/gas 5.""},{""""meth_group"""":""STEP 4""},{""""meth_group"""":""Bake the doughnuts for 10-12 mins until risen and golden. Mix the icing sugar with 2 tbsp cold water in a shallow bowl. Mix the caster sugar and cinnamon in another bowl. Roll each doughnut first in the sugar syrup, then into the caster sugar to coat all over. Leave to cool.""}]"
Bakewell tart,"[{""""ing_group"""":""250g plain flour , plus extra for rolling out""},{""""ing_group"""":""¼ tsp fine  sea salt""},{""""ing_group"""":""2 tbsp icing sugar""},{""""ing_group"""":""140g cold  butter , cubed""},{""""ing_group"""":""2 egg yolks , beaten""},{""""ing_group"""":""cream or custard , to serve (optional)""},{""""ing_group"""":""100g salted  butter , softened""},{""""ing_group"""":""100g caster sugar""},{""""ing_group"""":""50g ground  almonds""},{""""ing_group"""":""1 tsp almond extract""},{""""ing_group"""":""2 medium eggs , beaten""},{""""ing_group"""":""3 tbsp raspberry jam""},{""""ing_group"""":""50g flaked  almonds""},{""""ing_group"""":""80g icing sugar""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat the oven to 200C/180C fan/gas 6. To make the pastry, put the flour in a food processor along with the salt and icing sugar. Blitz to combine. Add the butter and pulse in short bursts until it's the texture of fine breadcrumbs. Mix 4 tbsp cold water with the beaten eggs and drizzle into the mixture, then quickly pulse to combine. Tip out the crumbly mixture onto a work surface, then form into a puck, cover and chill for 30 mins.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Roll the pastry out on a lightly floured surface to around 25cm, and to the thickness of a £1 coin. Line a 20cm fluted tart tin with the pastry, leaving the pastry to overhang. Add a large disc of baking parchment big enough to cover the edges, and some baking beans to weigh it down (use dried rice or lentils if you don’t have baking beans). Bake for 15 mins, then remove the parchment and beans and bake for a further 7-10 mins or until the bottom is evenly cooked. Trim off any overhanging pastry with a serrated knife.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""For the filling, beat the butter and sugar until combined. Add the ground almonds, almond extract and eggs and beat for a further minute. Spread the jam over the pastry, then top with the almond filling. Scatter over the flaked almonds and bake for 25-30 mins until golden and firm. Leave to cool in the tin (or eat warm at this stage and leave out step 4).""},{""""meth_group"""":""STEP 4""},{""""meth_group"""":""Mix together the icing sugar and 1-2 tsp water and drizzle over the tart. Slice and serve with cream or custard, if you like.""}]"
Millionaire’s chocolate tart,"[{""""ing_group"""":""375g pack dessert shortcrust pastry""},{""""ing_group"""":""1 tsp vanilla paste or extract""},{""""ing_group"""":""flour , for dusting""},{""""ing_group"""":""250g/9oz caramel (we used Carnation caramel from a can)""},{""""ing_group"""":""100g 70% plain chocolate , broken into pieces""},{""""ing_group"""":""100g white chocolate , broken into pieces""},{""""ing_group"""":""6 tbsp melted butter""},{""""ing_group"""":""2 eggs , plus 3 egg yolks""},{""""ing_group"""":""4 tbsp golden caster sugar""},{""""ing_group"""":""icing sugar and single cream, to serve (optional)""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Break the pastry into chunks and drop into a food processor. Drizzle over the vanilla paste and pulse until the vanilla is speckled through the pastry (the extract should be completely absorbed). Tip out onto a floured surface, bring together into a ball, then roll out to line a 23cm tart tin (leave any overhanging pastry as you will trim this away when the tart is baked). Chill for 30 mins.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Heat oven to 200C/180C fan/gas 6. Line the pastry with greaseproof paper. Fill with baking beans, bake blind for 15-20 mins, then remove the paper and beans and bake for 5-10 mins more until pale golden. Carefully spread caramel over the base and set aside while you make the filling. Lower oven to 180C/160C fan/gas 4.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Melt the chocolates in a bowl over a pan of barely simmering water, then stir in the melted butter. Whisk the eggs, yolks and sugar together with an electric whisk in a large mixing bowl for 10 mins, until pale and thick enough to leave a trail when the beaters are lifted up. Fold in the melted chocolate with a large metal spoon, then scrape into the tin.""},{""""meth_group"""":""STEP 4""},{""""meth_group"""":""Bake for 20-25 mins – the surface should be set and puffed but still with a slight wobble. Cool, then chill for at least 3 hrs or overnight, before dusting with icing sugar and serving.""}]"
Custard tart with nutmeg pastry,"[{""""ing_group"""":""500g pack shortcrust pastry""},{""""ing_group"""":""1 whole nutmeg , for grating""},{""""ing_group"""":""4 large eggs""},{""""ing_group"""":""140g golden caster sugar""},{""""ing_group"""":""300ml double cream""},{""""ing_group"""":""300ml whole milk""},{""""ing_group"""":""1 vanilla pod , seeds scraped out""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat oven to 200C/180C fan/gas 6. Roll the pastry out to about 1cm thick, then grate over a dusting of nutmeg using a fine grater. Fold the dough in half, then roll out again, to the thickness of 2 x £1 coins and large enough to line a 20cm loose-bottomed sandwich tin with some overhang. Press the pastry into the tin (leaving the excess draped over the sides), put onto a baking sheet and chill for 10 mins. Line the pastry with baking parchment and fill with baking beans. Bake for 20 mins, then remove beans and paper. Bake for another 15 mins until golden and sandy all over. Trim the edges of the tart with a sharp serrated knife.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Turn oven down to 150C/130C fan/ gas 2. Whisk together the eggs and sugar in a large bowl. Put the cream, milk, vanilla pod and seeds into a saucepan and bring to the boil. Pour onto the eggs, whisking as you go. Sieve into a jug. Put the baking sheet onto the pulled-out oven rack, then pour in the custard, right to the top. You may not need every last drop. Grate over a nice layer of nutmeg, then slide gently back into the oven and bake for 1 hr. When it’s ready, the tart should be set and pale golden on the top, and have just the merest tremor in the centre when you jiggle the tray. Cool completely, then serve in slices.""}]"
Brilliant banana loaf,"[{""""ing_group"""":""140g butter, softened, plus extra for the tin""},{""""ing_group"""":""140g caster sugar""},{""""ing_group"""":""2 large eggs, beaten""},{""""ing_group"""":""140g self-raising flour""},{""""ing_group"""":""1 tsp baking powder""},{""""ing_group"""":""2 very ripe  bananas, mashed""},{""""ing_group"""":""50g icing sugar""},{""""ing_group"""":""handful dried banana chips, for decoration""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat oven to 180C/160C fan/gas 4.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Butter a 2lb loaf tin and line the base and sides with baking parchment.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Cream 140g softened butter and 140g caster sugar until light and fluffy, then slowly add 2 beaten large eggs with a little of the 140g flour.""},{""""meth_group"""":""STEP 4""},{""""meth_group"""":""Fold in the remaining flour, 1 tsp baking powder and 2 mashed bananas.""},{""""meth_group"""":""STEP 5""},{""""meth_group"""":""Pour the mixture into the prepared tin and bake for about 50 mins, or until cooked through. Check the loaf at 5-min intervals by testing it with a skewer (it should be able to be inserted and removed cleanly), as the time may vary depending on the shape of your loaf tin.""},{""""meth_group"""":""STEP 6""},{""""meth_group"""":""Cool in the tin for 10 mins, then remove to a wire rack.""},{""""meth_group"""":""STEP 7""},{""""meth_group"""":""Mix 50g icing sugar with 2-3 tsp water to make a runny icing.""},{""""meth_group"""":""STEP 8""},{""""meth_group"""":""Drizzle the icing across the top of the cake and decorate with a handful of banana chips.""}]"
Carrot cake,"[{""""ing_group"""":""175g light muscovado sugar""},{""""ing_group"""":""175ml sunflower oil""},{""""ing_group"""":""3 large eggs, lightly beaten""},{""""ing_group"""":""140g grated carrot (about 3 medium)""},{""""ing_group"""":""100g raisins""},{""""ing_group"""":""1 large orange, zested""},{""""ing_group"""":""175g self-raising flour""},{""""ing_group"""":""1 tsp bicarbonate of soda""},{""""ing_group"""":""1 tsp ground cinnamon""},{""""ing_group"""":""½ tsp grated nutmeg (freshly grated will give you the best flavour)""},{""""ing_group"""":""175g icing sugar""},{""""ing_group"""":""1½-2 tbsp orange juice""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat the oven to 180C/160C fan/gas 4. Oil and line the base and sides of an 18cm square cake tin with baking parchment.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Tip the sugar, sunflower oil and eggs into a big mixing bowl. Lightly mix with a wooden spoon. Stir in the carrots, raisins and orange zest.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Sift the flour, bicarbonate of soda, cinnamon and nutmeg into the bowl. Mix everything together, the mixture will be soft and almost runny.""},{""""meth_group"""":""STEP 4""},{""""meth_group"""":""Pour the mixture into the prepared tin and bake for 40-45 mins or until it feels firm and springy when you press it in the centre.""},{""""meth_group"""":""STEP 5""},{""""meth_group"""":""Cool in the tin for 5 mins, then turn it out, peel off the paper and cool on a wire rack. (You can freeze the cake at this point if you want to serve it at a later date.)""},{""""meth_group"""":""STEP 6""},{""""meth_group"""":""Beat the icing sugar and orange juice in a small bowl until smooth – you want the icing about as runny as single cream. Put the cake on a serving plate and boldly drizzle the icing back and forth in diagonal lines over the top, letting it drip down the sides.""}]"
Eve’s pudding,"[{""""ing_group"""":""6 large Bramley apples, finely sliced""},{""""ing_group"""":""200g unsalted butter""},{""""ing_group"""":""140g raisins""},{""""ing_group"""":""100g soft brown sugar""},{""""ing_group"""":""4 eggs""},{""""ing_group"""":""200g self-raising flour""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat oven to 180C/160C fan/gas 4. Peel, core and slice the apples. Grease a large serving dish, about 2.5 litre/3 litre with 25g/1oz of the butter and tip in the apple. Scatter the raisins over the top.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""In a separate dish beat the remaining butter and sugar together for 10 mins until the butter turns pale and the sugar starts to dissolve. Beat in the eggs, then carefully fold in the flour with a large spoon. Spread the batter over the apples, then bake for 45 mins until golden. Serve with the custard, below.""}]"
Iced buns with cream & jam,"[{""""ing_group"""":""350ml milk , plus extra for brushing""},{""""ing_group"""":""30g butter , cubed""},{""""ing_group"""":""500g strong white bread flour""},{""""ing_group"""":""10g fast-action dried yeast""},{""""ing_group"""":""2 tbsp caster sugar""},{""""ing_group"""":""300g icing sugar , plus 1 tbsp""},{""""ing_group"""":""few drops of yellow, pink and purple food colouring (optional)""},{""""ing_group"""":""300ml whipping or double cream""},{""""ing_group"""":""200g lemon curd""},{""""ing_group"""":""200g raspberry jam""},{""""ing_group"""":""200g blackcurrant jam""},{""""ing_group"""":""glacé cherries , sprinkles or crystallised rose and violet petals, to decorate (optional)""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat the milk until steaming. Add the butter and swirl until melted. Leave to cool slightly. Tip the flour and yeast into a bowl or stand mixer fitted with a dough hook, then add the caster sugar and ½ tsp salt.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""When the milk mix has cooled slightly (it should feel just warm when you stick a finger in) pour into the flour mix. If using a stand mixer, mix for 5-8 mins on a medium speed until springy. Or, knead in the bowl for about 10 mins – when the dough is pulled apart, it should be able to stretch without ripping.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Put the dough in a clean bowl, cover with a tea towel and leave to rise for 1½ hrs or until doubled in size. Or, transfer to the fridge to slowly rise for up to 24 hrs (this will improve the texture and flavour).""},{""""meth_group"""":""STEP 4""},{""""meth_group"""":""If the dough is chilled, remove from the fridge 1 hr before shaping. Divide into 10 equal portions (weigh them out if you want to be accurate). To make round buns, roll and shape each piece into a smooth ball, or to make finger buns, roll and shape each piece into a finger shape. Arrange on a lined baking tray, leaving space between each. Cover loosely and leave to rise for 30 mins-1 hr more until doubled.""},{""""meth_group"""":""STEP 5""},{""""meth_group"""":""Heat the oven to 180C/160C fan/ gas 4. Brush the buns with milk and bake for 25-30 mins until golden. Put on a wire rack and leave to cool.""},{""""meth_group"""":""STEP 6""},{""""meth_group"""":""Mix the icing sugar with 2-3 tbsp water – it should be thick. Divide between bowls, depending on how many food colourings you’re using (we used three). Dye each with a different colouring, adding a splash more water if needed.""},{""""meth_group"""":""STEP 7""},{""""meth_group"""":""Whisk the cream and 1 tbsp icing sugar until just holding its shape. Don’t overwhip, as it will thicken as you pipe (see tip, below). Fit a piping bag with a star nozzle and fill with a third of the cream.""},{""""meth_group"""":""STEP 8""},{""""meth_group"""":""Split the round buns in half as you would a burger bun, or the finger buns down the middle lengthways. Spoon roughly 60g lemon curd or jam over the bottom half of each bun (or down the middle), alternating the flavours, then pipe over a swirl of cream. Continue until all the buns are filled, refilling the piping bag with cream as needed. Spoon some icing over each bun, matching the colours to the jam (we used yellow for the curd, pink for the raspberry jam and purple for the blackcurrant). Decorate with the glacé cherries, sprinkles and crystallised petals, if you like, then leave to set for about 20 mins before serving. Best eaten the day they’re made, but will keep in the fridge for 24 hrs.""}]"
Raspberry & almond traybake,"[{""""ing_group"""":""250g self-raising flour""},{""""ing_group"""":""50g ground almonds""},{""""ing_group"""":""200g butter , diced""},{""""ing_group"""":""280g golden granulated sugar""},{""""ing_group"""":""50g desiccated coconut""},{""""ing_group"""":""2  medium eggs""},{""""ing_group"""":""350-450g/12oz-1lb  fresh or frozen raspberries""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat the oven to 180C/fan160C/gas 4. Butter an oblong cake tin (about 31 x 17 x 3cm). Tip the flour, ground almonds, butter and sugar into a food processor and whizz just until the butter is evenly distributed – or rub together by hand. Remove 85g/3oz of the mix, stir in the coconut and put to one side. Add the eggs to the remaining mixture in the food processor and whizz quickly – or mix with a wooden spoon. It doesn’t need to be very smooth.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Spread this mixture over the base of the tin, then scatter half the raspberries over the top. Sprinkle with the coconut mixture and bake for 45 mins. Dot the remaining fruit over the surface and cook for a further 15 mins, until firm to the touch. Cool in the tin and cut into slices, squares, whichever shape you want. They will keep for up to 2 days in the fridge.""}]"
Blackcurrant bakewell,"[{""""ing_group"""":""250g softened butter , plus extra for greasing""},{""""ing_group"""":""280g self-raising flour""},{""""ing_group"""":""250g golden caster sugar""},{""""ing_group"""":""½ tsp baking powder""},{""""ing_group"""":""4 eggs""},{""""ing_group"""":""150ml pot natural yogurt""},{""""ing_group"""":""1 tsp vanilla paste or extract""},{""""ing_group"""":""1 tsp almond extract""},{""""ing_group"""":""4 tbsp blackcurrant jam""},{""""ing_group"""":""25g toasted flaked almonds""},{""""ing_group"""":""icing sugar , to dust""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat oven to 180C/160C fan/gas 4. Butter a 20 x 30cm baking or roasting tin and line with baking parchment. To make the sponge batter, beat the butter, flour, sugar, baking powder, eggs, yogurt, vanilla and almond extract in a large bowl with an electric whisk until lump-free. Spoon into the tin and bake for 10 mins.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Quickly dot over the jam, scatter over the almonds, then bake for 15-20 mins more until golden and risen and a skewer poked in comes out clean. Cool in the tin, then dust with icing sugar.""}]"
Easy-bake bread,"[{""""ing_group"""":""500g strong bread flour""},{""""ing_group"""":""7g sachet fast-action dried yeast""},{""""ing_group"""":""1 tsp salt""},{""""ing_group"""":""300ml hand-hot water""},{""""ing_group"""":""2 tbsp sunflower oil""},{""""ing_group"""":""1 tbsp honey""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Tip the flour into a bowl and mix in the yeast with the salt. Stir in the water, oil and honey. Now bring together to make a soft dough – I use my hands, but a wooden spoon or knife from the cutlery drawer is fine. Tip onto a lightly floured surface and knead for 10 mins. It is worth putting in the time to do this as it will pay off later with lovely airy bread.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Don’t keep adding flour, a wet dough is better than a dry one, which will bake to a tough texture, so if you don’t like the dough sticking to your hands, lightly oil them. If you are adding flavourings, knead them in gently now.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Turn the dough into an oiled 1kg bread tin and cover with oiled cling film (or better still, a free unused shower cap from your last hotel stay!). Put in a warm place until the bread fills the tin, it should take between 1-2 hrs.""},{""""meth_group"""":""STEP 4""},{""""meth_group"""":""Uncover and bake your bread at 200C/180C fan/gas 6 for 30-35 mins until golden. Tip out of the tin and tap the base of the loaf. It should sound hollow when fully cooked. If not cooked, put loaf back in the oven out of the tin and test again after 10 mins. Cool.""}]"
Sticky cherry bakewell buns,"[{""""ing_group"""":""500g pack white bread mix""},{""""ing_group"""":""100g golden caster sugar""},{""""ing_group"""":""200-250ml warm milk""},{""""ing_group"""":""50g salted butter , melted""},{""""ing_group"""":""1 medium egg , lightly beaten""},{""""ing_group"""":""3 tsp almond essence""},{""""ing_group"""":""plain flour , for dusting""},{""""ing_group"""":""a little oil , for proving""},{""""ing_group"""":""180g raspberry jam""},{""""ing_group"""":""250g icing sugar""},{""""ing_group"""":""12 glacé cherries""},{""""ing_group"""":""30g flaked almonds , toasted (optional)""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Combine the bread mix and caster sugar in a large bowl. Make a well in the centre and pour in 200ml of the milk, the melted butter, egg and half of the almond essence, then mix together swiftly with a wooden spoon. If it feels a little dry, add a dash more milk. Knead on a lightly floured surface for 5-10 mins until you have a dough that is smooth and springy. Put the dough in a large, lightly oiled mixing bowl, then cover and leave in a warm place for 1½-2 hrs, or until doubled in size.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Mix the raspberry jam and remaining almond essence together in a small bowl. Tip the dough out of its bowl onto a lightly floured surface and knock it back (gently kneading it a few times to expel the air). Split the dough into 12 equal-sized pieces, then shape each one into a round and roll out to a diameter of about 10cm. Drop a level tsp of the jam into the centre of each round and fold in the ends to cover the jam so that it’s in the centre of the bun. Pinch the ends tightly together to seal. Arrange nine of the buns, pinched-side down, on a lined baking sheet in a circle. Place the remaining three in the centre, leaving a little space between each one so they can spread out. Cover loosely and leave for 1 hr more to double in size.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Heat oven to 200C/180C fan/ gas 6. Bake for 20-25 mins in the centre of the oven until golden brown, then remove from the oven and leave to cool completely on the baking sheet.""},{""""meth_group"""":""STEP 4""},{""""meth_group"""":""Mix the icing sugar and 3 tbsp water together to create a thick, glossy icing. Spread the icing over the buns and top each one with a glacé cherry, then sprinkle over the almonds. Leave the icing to set for at least 10 mins.""}]"
Lemon sponge cake,"[{""""ing_group"""":""175g unsalted butter , softened, plus extra for the tin""},{""""ing_group"""":""175g golden caster sugar""},{""""ing_group"""":""3 large eggs""},{""""ing_group"""":""3 large unwaxed lemons , zested, plus 4-4 ½ tbsp juice""},{""""ing_group"""":""250g self-raising flour""},{""""ing_group"""":""½ tsp baking powder""},{""""ing_group"""":""100g Greek yogurt""},{""""ing_group"""":""400g icing sugar""},{""""ing_group"""":""lemon zest or candied peel, to serve (optional)""},{""""ing_group"""":""2 large lemons""},{""""ing_group"""":""200g granulated sugar""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat oven to 170C/150C fan/gas 3. Butter a deep, loose-bottomed, 18cm cake tin and line the base with baking parchment.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Beat the butter and caster sugar together with an electric whisk until fluffy and pale in colour. Crack the eggs in one at a time, beating well after each addition, then stir in the lemon zest. Fold in the flour, baking powder and ½ tsp salt, then fold in the yogurt.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Spoon the mixture into the lined tin, smoothing the top with a spatula. Bake in the centre of the oven for 50-55 mins, or until golden brown on top and firm to the touch. Cool in the tin for 10 mins before turning out onto a wire rack to cool completely. Will keep in an airtight container for up to four days, or in the freezer for up to a month.""},{""""meth_group"""":""STEP 4""},{""""meth_group"""":""When you’re ready to decorate, sieve the icing sugar into a bowl and beat in enough of the lemon juice to create a thick icing. Set the cake on a serving plate or cake stand, then spoon over the icing, allowing it to drip down the sides a little. Top with the lemon zest or candied peel, if using (see below), and cut into generous wedges to serve.""},{""""meth_group"""":""STEP 5""},{""""meth_group"""":""To make candied lemon peel, peel large, wide strips from the lemons using a vegetable peeler. Remove any pith with a knife, then julienne the peel into very thin matchsticks. Tip the granulated sugar into a saucepan with 200ml water and set over a medium heat until the sugar has dissolved. Add the lemon peel and simmer gently for 15 mins, then scoop the peel out using a slotted spoon and set on a piece of kitchen paper to cool. Use to decorate the top of your cake.""}]"
